CustomerID,Age,Gender,Geography,CreditScore,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
CUST00042,41,Female,Spain,585,0,44148.25,2,Yes,Yes,169052.56,No
CUST00043,21,Male,Spain,647,2,51033.93,1,No,No,129752.22,No
CUST00044,49,Female,Spain,604,2,26957.24,1,Yes,Yes,131014.62,No
CUST00045,26,Male,France,726,2,101555.42,2,Yes,Yes,64923.88,Yes
CUST00046,35,Female,France,782,4,87982.85,2,Yes,Yes,34260.16,No
CUST00047,36,Female,Spain,691,6,26449.49,1,Yes,No,93343.05,Yes
CUST00048,40,Male,France,559,8,101910.01,1,Yes,Yes,131221.95,Yes
CUST00049,45,Female,Spain,641,7,124452.8,2,No,Yes,18482.77,No
CUST00050,31,Male,France,693,10,70397.53,2,No,Yes,183067.3,No
CUST00051,27,Male,Germany,705,7,152426.96,3,No,Yes,80104.9,No
CUST00052,69,Male,Spain,657,6,97635.84,2,Yes,No,114201.94,No
CUST00053,56,Male,France,566,8,144248.56,2,No,No,178315.63,Yes
CUST00054,22,Male,France,557,6,65913.6,2,Yes,No,175316.45,No
CUST00055,35,Female,France,727,9,27941.74,2,No,No,152222.79,Yes
CUST00056,37,Female,Spain,622,8,83328.45,1,Yes,No,128518.06,No
CUST00057,45,Male,Germany,724,10,90448.76,1,Yes,No,56118.51,Yes
CUST00058,42,Female,France,654,3,5706.34,1,No,No,163509.18,No
CUST00059,20,Male,Spain,678,2,13560.04,1,Yes,Yes,137903.91,No
CUST00060,31,Female,Spain,667,3,60184.31,2,No,No,156547.96,No
CUST00061,31,Female,France,577,2,77683.25,2,Yes,Yes,131267.93,No
CUST00062,53,Male,Spain,514,4,64944.0,2,Yes,Yes,159649.87,No
CUST00063,48,Female,France,671,1,49082.08,2,Yes,Yes,154066.31,No
CUST00064,39,Female,France,682,10,121721.61,1,Yes,Yes,146914.2,Yes
CUST00065,23,Female,Spain,581,10,88435.04,2,Yes,No,67489.49,Yes
CUST00066,43,Male,Germany,669,1,94512.92,2,Yes,Yes,199332.08,No
CUST00067,47,Female,Spain,686,7,191639.52,2,No,Yes,132699.56,No
CUST00068,32,Male,Germany,621,5,10671.99,1,Yes,No,148012.08,No
CUST00069,44,Male,Germany,669,0,68928.59,3,No,No,158317.43,No
CUST00070,27,Male,Spain,807,5,94841.23,2,Yes,No,75483.63,Yes
CUST00071,47,Male,France,542,7,91043.42,1,Yes,No,171759.15,Yes
CUST00072,44,Male,France,788,8,102484.46,2,Yes,Yes,37929.57,No
CUST00073,49,Male,France,525,1,66650.63,2,Yes,No,60278.63,No
CUST00074,39,Male,Spain,642,6,63154.21,1,Yes,No,81140.61,No
CUST00075,35,Female,France,754,0,56981.58,3,No,No,48695.93,No
CUST00076,46,Female,France,705,7,60048.0,2,Yes,Yes,78058.91,No
CUST00077,40,Female,Spain,459,6,48685.65,3,Yes,Yes,123201.46,No
CUST00078,49,Male,France,599,4,0.0,1,Yes,No,96877.77,Yes
CUST00079,48,Female,Germany,546,8,136753.96,2,Yes,Yes,117935.52,No
CUST00080,38,Male,France,546,7,44956.54,2,Yes,Yes,157528.12,Yes
CUST00081,54,Male,Spain,664,2,72138.83,1,Yes,No,77321.85,No
CUST00082,40,Female,France,636,3,46888.17,2,Yes,Yes,66819.06,No
CUST00083,45,Female,France,767,7,79866.12,1,Yes,No,135599.66,Yes
CUST00084,54,Male,Spain,738,0,7631.35,1,No,Yes,85265.58,No
CUST00085,46,Female,France,756,0,0.0,2,Yes,Yes,161928.35,No
CUST00086,33,Male,Spain,686,1,35653.96,3,No,No,196013.13,No
CUST00087,38,Male,Spain,621,2,31332.3,2,Yes,No,69553.47,Yes
CUST00088,36,Male,Germany,609,2,69224.74,2,No,Yes,35530.47,No
CUST00089,37,Female,France,586,1,34419.08,1,Yes,No,176362.5,Yes
CUST00090,31,Male,Germany,678,4,24458.42,1,No,No,196191.64,Yes
CUST00091,51,Female,Spain,568,4,155413.91,2,Yes,Yes,188204.54,No
CUST00092,35,Male,Spain,603,1,46325.49,1,No,Yes,77982.84,Yes
CUST00093,42,Male,Germany,654,8,29970.41,1,No,Yes,121041.27,No
CUST00094,39,Female,France,680,9,80715.56,2,Yes,Yes,47155.06,No
CUST00095,51,Female,Germany,444,5,62400.44,1,Yes,No,173154.95,Yes
CUST00096,31,Male,Spain,681,3,160008.69,1,Yes,No,157410.74,Yes
CUST00097,24,Female,France,578,7,63128.83,2,No,Yes,148076.02,No
CUST00098,48,Female,France,730,7,42316.4,1,No,Yes,183204.94,Yes
CUST00099,47,Male,Spain,643,9,121560.04,2,No,Yes,72274.55,No
CUST00100,39,Male,Spain,693,10,76933.73,3,No,No,192483.05,Yes
CUST00101,30,Female,Germany,575,9,98206.01,3,No,Yes,64071.37,No
CUST00102,31,Male,Spain,570,4,66398.55,1,No,Yes,91045.14,No
CUST00103,43,Female,Germany,702,6,44768.93,2,Yes,Yes,24448.39,Yes
CUST00104,37,Male,France,695,7,47142.03,1,Yes,No,136730.53,No
CUST00105,48,Female,France,663,5,31234.53,2,No,Yes,154216.34,No
CUST00106,45,Male,Germany,627,10,147177.71,1,Yes,No,45598.84,No
CUST00107,37,Female,France,772,7,179308.24,1,Yes,Yes,62552.47,No
CUST00108,45,Male,Spain,693,4,60939.6,2,Yes,No,46499.75,Yes
CUST00109,40,Male,Spain,717,10,167973.11,1,Yes,No,139870.77,Yes
CUST00110,51,Male,Spain,588,6,135529.99,1,No,No,92300.95,No
CUST00111,32,Female,Spain,799,10,132240.8,2,Yes,Yes,150520.07,No
CUST00112,44,Female,Spain,555,4,106040.2,1,Yes,Yes,25575.75,No
CUST00113,32,Male,France,592,1,71751.73,1,No,Yes,157619.62,Yes
CUST00114,23,Male,Spain,657,0,93132.17,4,No,Yes,173990.02,No
CUST00115,47,Female,France,602,6,54248.27,2,Yes,Yes,45669.51,No
CUST00116,52,Female,Spain,749,10,535.54,2,Yes,No,85898.48,Yes
CUST00117,44,Male,Spain,730,10,44695.64,2,Yes,Yes,77295.82,Yes
CUST00118,48,Female,Germany,630,8,58826.18,1,No,Yes,165197.54,No
CUST00119,26,Female,France,757,2,30828.82,1,Yes,Yes,33762.41,No
CUST00120,18,Female,Spain,530,7,39294.0,2,No,No,91107.79,No
CUST00121,24,Female,France,759,3,27189.21,2,Yes,No,93938.53,No
CUST00122,32,Female,Spain,643,6,98880.04,3,No,No,164302.76,Yes
CUST00123,23,Female,Germany,494,10,25458.72,1,No,Yes,65702.09,No
CUST00124,43,Female,Germany,614,5,96690.77,2,No,Yes,57083.47,No
CUST00125,29,Male,France,718,8,83535.08,2,Yes,Yes,89826.57,No
CUST00126,38,Female,Spain,683,7,87095.46,1,Yes,No,31078.3,No
CUST00127,40,Female,Spain,524,3,86650.85,1,Yes,Yes,53129.61,Yes
CUST00128,37,Male,Spain,682,0,85340.91,1,Yes,No,51574.48,Yes
CUST00129,34,Female,Germany,684,1,144390.01,2,No,No,156046.6,Yes
CUST00130,44,Female,France,653,6,82718.27,1,Yes,No,152435.24,Yes
CUST00131,49,Male,France,597,0,77668.17,4,Yes,No,73281.37,No
CUST00132,35,Male,Spain,534,9,111008.63,3,No,No,63466.1,Yes
CUST00133,48,Male,France,627,2,70442.13,4,No,No,168175.72,No
CUST00134,45,Female,France,794,9,74380.02,2,No,No,62939.25,No
CUST00135,58,Female,France,763,6,0.0,2,No,Yes,104859.12,No
CUST00136,38,Male,Germany,693,8,67021.07,2,Yes,Yes,103251.75,No
CUST00137,49,Female,Spain,682,9,102110.32,1,Yes,Yes,62889.56,No
CUST00138,37,Male,France,513,4,93948.91,2,Yes,No,121476.49,No
CUST00139,28,Male,Spain,717,3,87706.72,3,No,Yes,175012.62,Yes
CUST00140,68,Female,Germany,682,6,0.0,2,Yes,Yes,83557.96,No
CUST00141,61,Male,Spain,694,5,130989.98,3,Yes,No,60458.18,Yes
CUST00142,53,Female,Spain,580,3,33196.25,2,Yes,Yes,16654.23,No
CUST00143,47,Male,Spain,569,7,0.0,1,Yes,Yes,112128.85,No
CUST00144,32,Female,Spain,636,6,106475.38,2,Yes,Yes,198326.5,No
CUST00145,34,Female,Germany,596,1,95287.02,3,No,Yes,64106.46,No
CUST00146,40,Male,Germany,713,4,20743.65,1,Yes,No,27378.57,Yes
CUST00147,59,Female,Spain,559,7,125674.77,1,No,Yes,143580.5,No
CUST00148,48,Male,Spain,591,9,73817.43,2,No,Yes,127773.07,No
CUST00149,34,Female,France,704,2,120104.53,2,No,No,116914.74,No
CUST00150,39,Female,Germany,670,5,47128.13,1,Yes,No,166403.32,Yes
CUST00151,46,Female,Germany,706,4,68454.57,2,No,No,18852.83,No
CUST00152,29,Female,France,736,4,37191.87,1,No,No,141806.48,No
CUST00153,34,Male,France,593,3,91088.2,2,No,Yes,128656.9,No
CUST00154,39,Male,Spain,550,1,56213.87,1,Yes,No,140568.18,Yes
CUST00155,33,Male,France,726,7,184212.13,2,No,Yes,159410.03,No
CUST00156,56,Female,France,792,2,149705.02,2,Yes,No,130934.82,No
CUST00157,35,Male,Spain,627,4,27252.74,1,Yes,Yes,147608.97,No
CUST00158,50,Female,Spain,677,6,39536.47,1,Yes,Yes,196225.68,Yes
CUST00159,45,Female,Germany,655,1,123319.22,1,No,Yes,86057.37,No
CUST00160,37,Male,France,610,4,80575.89,1,Yes,Yes,32731.9,No
CUST00161,39,Male,France,727,5,66409.46,2,Yes,No,148618.78,No
CUST00162,35,Female,Germany,667,1,24688.41,1,Yes,Yes,51901.29,No
CUST00163,34,Female,France,712,10,37594.26,2,Yes,Yes,97615.54,No
CUST00164,49,Male,France,605,5,66845.69,1,Yes,No,134337.45,No
CUST00165,44,Male,France,661,5,21152.31,1,Yes,No,48297.4,Yes
CUST00166,23,Male,Germany,668,6,32869.05,3,Yes,No,19301.32,No
CUST00167,35,Female,Spain,698,3,66020.91,1,Yes,Yes,44374.49,No
CUST00168,33,Male,France,560,7,81031.25,2,No,Yes,119569.7,No
CUST00169,62,Male,Germany,574,4,10925.98,1,Yes,No,27145.56,Yes
CUST00170,35,Female,Spain,745,0,63038.19,3,No,No,76138.1,No
CUST00171,37,Male,Spain,643,3,83199.08,1,No,No,15701.39,No
CUST00172,29,Female,Spain,549,2,74391.52,1,No,No,110381.03,No
CUST00173,57,Female,France,516,2,64151.93,1,No,Yes,60685.98,Yes
CUST00174,36,Female,Germany,614,2,81917.6,2,No,Yes,20477.74,No
CUST00175,32,Female,France,714,9,39700.61,2,Yes,Yes,81434.04,No
CUST00176,24,Female,Spain,633,2,102283.45,1,Yes,Yes,131951.94,No
CUST00177,67,Male,France,634,10,151262.24,2,Yes,No,68562.25,No
CUST00178,23,Male,Spain,723,3,140701.48,2,Yes,Yes,87258.44,No
CUST00179,38,Male,Germany,724,9,63610.69,2,No,No,101420.27,Yes
CUST00180,34,Female,Spain,637,1,108217.61,4,Yes,No,98847.15,No
CUST00181,20,Male,Germany,764,1,66856.47,1,Yes,Yes,196763.22,Yes
CUST00182,33,Female,Spain,744,10,87185.35,2,Yes,No,164426.46,No
CUST00183,65,Male,Germany,563,2,68172.99,3,Yes,No,113602.49,Yes
CUST00184,34,Male,France,760,7,42865.03,1,Yes,Yes,146852.25,No
CUST00185,24,Female,Spain,449,6,6059.44,1,No,Yes,140868.27,No
CUST00186,39,Male,France,583,8,129227.74,1,Yes,No,16973.33,Yes
CUST00187,23,Male,France,635,7,8455.22,4,Yes,Yes,106885.36,No
CUST00188,36,Female,France,581,2,49055.94,2,Yes,No,42442.72,Yes
CUST00189,18,Female,Spain,713,4,38883.51,2,Yes,Yes,185189.23,Yes
CUST00190,32,Female,Germany,592,7,46095.5,3,Yes,Yes,54965.88,No
CUST00191,50,Female,Spain,725,10,78187.7,2,Yes,Yes,132002.0,No
CUST00192,26,Male,Germany,649,2,48616.55,1,Yes,Yes,77000.2,Yes
CUST00193,18,Male,Germany,583,1,75261.43,3,No,No,59063.1,Yes
CUST00194,29,Female,Germany,607,9,111084.32,2,Yes,Yes,49456.54,No
CUST00195,47,Female,Spain,486,2,86282.98,1,Yes,Yes,94167.83,No
CUST00196,38,Male,Germany,669,7,45310.38,1,Yes,Yes,31653.27,No
CUST00197,39,Male,Germany,467,5,52682.22,3,No,Yes,164072.41,No
CUST00198,44,Male,France,533,3,44972.11,2,No,Yes,61632.72,No
CUST00199,29,Female,Spain,651,1,118984.16,1,Yes,No,45537.96,Yes
CUST00200,32,Male,Germany,795,5,43284.42,1,Yes,No,155857.76,Yes
CUST00201,45,Male,France,680,8,15653.65,4,Yes,No,107114.55,Yes
CUST00202,28,Female,Spain,641,2,18844.58,1,Yes,No,119445.35,Yes
CUST00203,22,Female,Spain,613,4,0.0,1,Yes,Yes,17344.42,No
CUST00204,35,Female,Germany,597,8,91735.19,4,Yes,No,128519.43,Yes
CUST00205,47,Female,France,495,2,50993.81,2,No,Yes,101100.27,No
CUST00206,44,Male,Spain,845,2,69658.54,2,No,No,91606.93,No
CUST00207,39,Male,France,586,3,176017.22,1,No,Yes,151920.06,No
CUST00208,33,Female,Spain,677,6,107092.19,4,No,Yes,39825.69,No
CUST00209,23,Male,France,521,5,8112.09,1,Yes,Yes,121978.95,No
CUST00210,36,Male,Spain,693,0,30663.44,3,No,Yes,126867.36,No
CUST00211,55,Female,France,574,7,79367.36,3,No,Yes,51302.58,No
CUST00212,34,Male,Spain,543,1,46985.64,4,Yes,Yes,160814.23,No
CUST00213,35,Female,France,516,10,59582.25,1,Yes,Yes,84094.79,No
CUST00214,26,Male,Spain,706,5,12935.67,2,Yes,Yes,187332.25,No
CUST00215,24,Female,Spain,552,9,80727.74,2,Yes,Yes,166494.4,No
CUST00216,49,Male,Germany,530,1,93178.07,2,No,No,56078.41,No
CUST00217,43,Male,France,600,7,95804.4,2,No,No,130938.34,Yes
CUST00218,42,Female,France,589,2,0.0,1,Yes,No,61219.29,Yes
CUST00219,37,Male,France,598,8,71985.59,2,No,No,90928.25,Yes
CUST00220,42,Male,Spain,795,4,51544.76,2,Yes,No,124820.52,Yes
CUST00221,47,Female,France,654,2,44295.43,1,Yes,No,131987.04,No
CUST00222,27,Male,Spain,523,8,0.0,3,No,Yes,100250.83,No
CUST00223,41,Female,Spain,679,1,33346.93,3,Yes,Yes,94647.02,No
CUST00224,45,Male,Spain,646,3,66217.73,2,No,No,154719.93,No
CUST00225,29,Female,France,579,7,101822.36,1,Yes,Yes,186212.38,No
CUST00226,42,Male,Germany,621,6,110135.0,1,Yes,Yes,74024.77,No
CUST00227,42,Male,France,535,2,135633.69,4,No,No,111582.67,No
CUST00228,37,Female,Spain,806,9,36410.82,2,Yes,Yes,66464.84,No
CUST00229,18,Female,Spain,696,7,153586.76,3,Yes,No,84647.45,No
CUST00230,36,Male,Spain,663,4,172205.7,2,Yes,No,174484.61,No
CUST00231,49,Male,Spain,709,2,53617.51,2,Yes,Yes,130547.56,No
CUST00232,32,Female,Germany,545,4,27755.68,2,Yes,Yes,189089.63,No
CUST00233,37,Female,Spain,690,4,160973.55,1,Yes,Yes,103425.07,No
CUST00234,54,Male,Spain,672,3,85712.68,1,Yes,Yes,159376.93,No
CUST00235,43,Male,Spain,642,7,147901.04,4,No,Yes,55647.11,No
CUST00236,32,Male,France,627,1,11982.06,2,Yes,Yes,89779.48,No
CUST00237,25,Male,France,685,9,122136.14,1,Yes,Yes,93849.55,No
CUST00238,48,Female,France,727,8,33619.65,1,Yes,No,147594.92,No
CUST00239,57,Female,Germany,694,0,61399.17,1,Yes,No,143670.83,Yes
CUST00240,39,Female,France,583,9,43730.17,1,Yes,Yes,82711.92,No
CUST00241,41,Male,France,620,7,85050.19,1,No,Yes,194659.53,No
CUST00242,41,Male,Spain,523,6,135130.43,2,Yes,Yes,98906.59,No
CUST00243,59,Male,France,596,4,98140.34,2,Yes,No,30979.62,Yes
CUST00244,49,Female,Spain,653,5,86749.65,2,No,Yes,65444.6,Yes
CUST00245,32,Female,Germany,614,3,90208.11,1,Yes,Yes,114908.41,No
CUST00246,52,Male,Spain,665,3,122992.97,1,No,Yes,167814.52,Yes
CUST00247,42,Female,Germany,643,3,115305.9,2,Yes,Yes,67159.81,No
CUST00248,44,Female,Germany,747,4,146248.58,2,No,Yes,67167.87,No
CUST00249,44,Female,Germany,694,0,124717.39,4,No,No,77689.44,No
CUST00250,35,Female,Germany,636,9,119106.93,1,Yes,Yes,145905.23,No
CUST00251,28,Female,Germany,520,5,37639.73,1,No,Yes,113708.43,No
CUST00252,45,Male,Spain,674,1,74078.15,3,Yes,Yes,58107.84,No
CUST00253,39,Female,France,573,2,76455.08,1,Yes,No,65765.23,No
CUST00254,32,Female,France,727,8,76641.16,2,Yes,No,88878.78,No
CUST00255,46,Male,Spain,690,4,72383.11,2,Yes,No,50797.71,Yes
CUST00256,35,Male,Spain,605,7,103834.06,2,Yes,No,191733.85,No
CUST00257,45,Female,France,576,1,61685.27,1,Yes,No,152452.41,No
CUST00258,41,Male,Spain,656,4,119624.67,1,Yes,Yes,104546.04,No
CUST00259,40,Male,Germany,757,4,47604.23,1,Yes,No,184344.5,Yes
CUST00260,44,Male,Spain,628,0,36491.35,2,Yes,No,86239.44,No
CUST00261,18,Male,Germany,625,9,77172.76,2,Yes,No,169108.04,Yes
CUST00262,43,Female,Germany,740,0,90416.08,1,No,No,33238.02,No
CUST00263,35,Female,France,575,7,53578.76,2,Yes,Yes,117405.69,No
CUST00264,41,Male,France,515,6,17180.36,1,Yes,Yes,38084.02,No
CUST00265,37,Female,France,759,9,79552.68,2,No,No,105021.12,No
CUST00266,46,Male,France,625,5,24213.12,2,Yes,Yes,117247.64,No
CUST00267,33,Female,Germany,689,1,50298.07,2,No,Yes,165312.62,No
CUST00268,38,Female,France,665,5,161871.86,1,Yes,Yes,165564.65,Yes
CUST00269,52,Female,France,503,1,17092.3,3,Yes,No,91635.53,Yes
CUST00270,45,Male,France,640,0,95420.07,2,Yes,Yes,185977.15,No
CUST00271,45,Female,Germany,736,10,0.0,1,Yes,No,171134.0,No
CUST00272,28,Male,Germany,465,5,138143.82,1,Yes,No,184057.64,Yes
CUST00273,39,Male,Spain,612,10,74410.2,2,Yes,No,154625.58,No
CUST00274,46,Female,Germany,660,10,5329.28,1,Yes,No,169657.48,Yes
CUST00275,43,Female,France,738,4,55430.68,1,Yes,Yes,197222.21,No
CUST00276,41,Female,Spain,566,2,147868.45,2,Yes,Yes,162661.63,No
CUST00277,27,Female,France,610,10,77680.02,2,Yes,Yes,185289.96,No
CUST00278,40,Male,Germany,681,8,18612.8,1,Yes,No,99895.02,Yes
CUST00279,43,Female,Germany,592,4,71834.1,4,Yes,Yes,45499.5,No
CUST00280,41,Male,Spain,583,6,0.0,1,Yes,No,95038.2,No
CUST00281,52,Female,Spain,631,4,37256.17,2,Yes,No,37814.36,No
CUST00282,52,Male,Spain,756,5,81222.16,1,Yes,Yes,192902.04,No
CUST00283,53,Female,France,680,10,53972.16,2,No,No,183428.49,Yes
CUST00284,34,Male,France,727,5,74051.85,2,Yes,Yes,157664.24,No
CUST00285,30,Male,France,664,8,97426.01,1,Yes,Yes,72130.92,No
CUST00286,36,Male,France,680,8,134288.4,1,Yes,No,74022.34,No
CUST00287,39,Female,Spain,747,1,82734.33,3,Yes,Yes,54066.76,Yes
CUST00288,46,Male,France,643,2,75244.04,1,No,No,138131.56,No
CUST00289,25,Male,France,669,7,0.0,1,Yes,No,29873.39,No
CUST00290,30,Female,Germany,584,4,39202.07,4,Yes,Yes,78442.74,No
CUST00291,49,Male,France,551,2,74264.22,1,Yes,No,137210.65,Yes
CUST00292,41,Male,Spain,708,9,96057.34,2,Yes,No,41745.97,Yes
CUST00293,41,Female,France,683,10,152902.94,3,No,Yes,96314.0,No
CUST00294,25,Male,Spain,522,10,75216.96,1,No,Yes,44797.53,No
CUST00295,39,Female,Spain,715,5,73880.49,3,Yes,No,156748.48,No
CUST00296,48,Female,Spain,488,9,45805.18,2,Yes,Yes,173901.54,No
CUST00297,43,Male,France,617,7,103453.77,1,Yes,Yes,159502.23,No
CUST00298,34,Female,Germany,609,2,109405.17,2,Yes,No,109670.26,Yes
CUST00299,45,Female,France,630,8,138272.09,4,Yes,No,40024.02,No
CUST00300,34,Female,Germany,672,8,0.0,2,Yes,No,90640.97,Yes
CUST00301,46,Male,France,760,2,100183.25,2,Yes,No,106032.63,Yes
CUST00302,31,Male,Spain,725,5,83277.42,2,Yes,Yes,116019.57,No
CUST00303,30,Female,Germany,573,0,94749.41,1,Yes,Yes,74875.7,Yes
CUST00304,30,Male,France,590,1,121836.1,2,Yes,No,195265.25,Yes
CUST00305,46,Female,Spain,738,8,51854.1,1,Yes,Yes,17168.15,No
CUST00306,43,Female,Germany,809,2,64584.32,2,No,Yes,120675.65,No
CUST00307,33,Male,Germany,705,4,102451.58,2,Yes,Yes,173364.23,Yes
CUST00308,25,Male,France,689,10,115029.35,2,Yes,Yes,55327.74,No
CUST00309,25,Male,Germany,511,1,44876.27,4,Yes,Yes,132396.46,Yes
CUST00310,39,Female,Spain,653,6,100296.45,1,No,No,31348.86,No
CUST00311,28,Female,Spain,770,9,157237.16,1,Yes,No,155184.7,No
CUST00312,43,Female,Germany,617,2,54254.06,2,No,No,198231.73,No
CUST00313,42,Female,France,658,8,84155.71,1,Yes,Yes,28435.75,No
CUST00314,32,Female,Germany,650,4,48280.35,1,No,Yes,193736.89,No
CUST00315,28,Female,France,561,0,9858.04,2,Yes,No,75121.19,Yes
CUST00316,46,Female,Spain,532,3,59263.23,2,Yes,Yes,142834.86,No
CUST00317,39,Male,Spain,687,3,56803.83,2,Yes,Yes,147387.71,No
CUST00318,46,Male,France,617,1,59378.89,1,Yes,No,47171.9,Yes
CUST00319,32,Male,Germany,557,4,50160.19,1,Yes,No,17265.4,Yes
CUST00320,36,Female,France,653,5,149165.1,1,Yes,Yes,61518.28,No
CUST00321,22,Male,France,602,8,33900.85,2,No,Yes,123242.83,No
CUST00322,45,Female,Germany,717,8,56973.03,2,No,Yes,48420.55,No
CUST00323,30,Female,Germany,716,4,75832.4,1,Yes,No,79123.95,No
CUST00324,21,Female,France,590,2,78573.47,3,Yes,No,158521.49,Yes
CUST00325,29,Male,France,850,6,31009.94,3,Yes,No,196621.82,No
CUST00326,36,Male,Spain,657,9,81696.34,2,Yes,Yes,18430.55,No
CUST00327,28,Female,Germany,605,6,85849.07,3,Yes,Yes,121913.03,Yes
CUST00328,44,Male,Spain,697,0,76631.32,2,No,Yes,21631.95,No
CUST00329,35,Female,Germany,657,8,57196.16,2,Yes,Yes,91346.32,No
CUST00330,25,Male,France,558,0,99275.92,1,No,Yes,77586.48,Yes
CUST00331,33,Female,Germany,619,8,104949.31,2,Yes,Yes,17046.77,No
CUST00332,34,Female,France,600,4,125561.99,1,Yes,Yes,43488.25,No
CUST00333,33,Male,Spain,518,1,45813.93,1,No,Yes,78879.28,No
CUST00334,39,Male,Germany,773,9,80294.63,2,Yes,Yes,16603.07,Yes
CUST00335,45,Female,Spain,551,4,108404.44,1,Yes,No,44485.13,No
CUST00336,19,Female,Spain,724,9,103364.49,1,Yes,Yes,157203.71,Yes
CUST00337,60,Female,Germany,665,6,103814.27,2,Yes,No,38132.28,No
CUST00338,36,Male,France,590,0,83938.38,1,Yes,No,132701.96,Yes
CUST00339,49,Female,Germany,549,4,100429.56,1,Yes,Yes,174054.94,No
CUST00340,55,Female,Germany,540,3,0.0,2,No,Yes,149252.98,No
CUST00341,28,Female,Germany,487,10,119339.73,3,Yes,No,184045.08,Yes
CUST00342,35,Female,France,571,6,0.0,2,Yes,Yes,170954.87,No
CUST00343,46,Female,France,607,2,75189.96,2,Yes,Yes,142027.93,No
CUST00344,40,Male,Spain,784,6,48879.93,2,Yes,No,29960.41,Yes
CUST00345,50,Male,Germany,744,7,86659.65,1,Yes,Yes,186974.65,Yes
CUST00346,54,Female,Germany,555,4,90143.04,1,Yes,No,185222.92,Yes
CUST00347,53,Male,Germany,780,9,119805.63,2,No,No,183870.71,Yes
CUST00348,49,Male,Spain,516,7,85385.79,1,Yes,No,59777.78,Yes
CUST00349,41,Male,Spain,619,5,19349.84,1,No,No,21210.59,No
CUST00350,33,Male,Germany,786,8,65462.59,2,Yes,Yes,106813.71,Yes
CUST00351,33,Female,Germany,802,0,118276.69,1,No,Yes,62142.51,No
CUST00352,39,Male,Germany,704,2,7233.03,1,No,No,55821.59,Yes
